date,views_youtube,views_tiktok
2009-09-30 00:00:00+00:00,18233787.0,
2009-10-31 00:00:00+00:00,,
2009-11-30 00:00:00+00:00,,
2009-12-31 00:00:00+00:00,,
2010-01-31 00:00:00+00:00,,
2010-02-28 00:00:00+00:00,,
2010-03-31 00:00:00+00:00,,
2010-04-30 00:00:00+00:00,,
2010-05-31 00:00:00+00:00,,
2010-06-30 00:00:00+00:00,,
2010-07-31 00:00:00+00:00,,
2010-08-31 00:00:00+00:00,,
2010-09-30 00:00:00+00:00,,
2010-10-31 00:00:00+00:00,,
2010-11-30 00:00:00+00:00,,
2010-12-31 00:00:00+00:00,,
2011-01-31 00:00:00+00:00,,
2011-02-28 00:00:00+00:00,,
2011-03-31 00:00:00+00:00,,
2011-04-30 00:00:00+00:00,,
2011-05-31 00:00:00+00:00,,
2011-06-30 00:00:00+00:00,,
2011-07-31 00:00:00+00:00,,
2011-08-31 00:00:00+00:00,,
2011-09-30 00:00:00+00:00,214544072.0,
2011-10-31 00:00:00+00:00,,
2011-11-30 00:00:00+00:00,,
2011-12-31 00:00:00+00:00,,
2012-01-31 00:00:00+00:00,,
2012-02-29 00:00:00+00:00,,
2012-03-31 00:00:00+00:00,,
2012-04-30 00:00:00+00:00,,
2012-05-31 00:00:00+00:00,,
2012-06-30 00:00:00+00:00,,
2012-07-31 00:00:00+00:00,,
2012-08-31 00:00:00+00:00,,
2012-09-30 00:00:00+00:00,,
2012-10-31 00:00:00+00:00,,
2012-11-30 00:00:00+00:00,,
2012-12-31 00:00:00+00:00,,
2013-01-31 00:00:00+00:00,,
2013-02-28 00:00:00+00:00,,
2013-03-31 00:00:00+00:00,,
2013-04-30 00:00:00+00:00,,
2013-05-31 00:00:00+00:00,,
2013-06-30 00:00:00+00:00,,
2013-07-31 00:00:00+00:00,,
2013-08-31 00:00:00+00:00,,
2013-09-30 00:00:00+00:00,631324.0,
2013-10-31 00:00:00+00:00,,
2013-11-30 00:00:00+00:00,,
2013-12-31 00:00:00+00:00,,
2014-01-31 00:00:00+00:00,,
2014-02-28 00:00:00+00:00,,
2014-03-31 00:00:00+00:00,,
2014-04-30 00:00:00+00:00,,
2014-05-31 00:00:00+00:00,,
2014-06-30 00:00:00+00:00,,
2014-07-31 00:00:00+00:00,,
2014-08-31 00:00:00+00:00,,
2014-09-30 00:00:00+00:00,,
2014-10-31 00:00:00+00:00,,
2014-11-30 00:00:00+00:00,,
2014-12-31 00:00:00+00:00,,
2015-01-31 00:00:00+00:00,,
2015-02-28 00:00:00+00:00,,
2015-03-31 00:00:00+00:00,,
2015-04-30 00:00:00+00:00,,
2015-05-31 00:00:00+00:00,,
2015-06-30 00:00:00+00:00,,
2015-07-31 00:00:00+00:00,,
2015-08-31 00:00:00+00:00,,
2015-09-30 00:00:00+00:00,30302.5,
2015-10-31 00:00:00+00:00,,
2015-11-30 00:00:00+00:00,,
2015-12-31 00:00:00+00:00,,
2016-01-31 00:00:00+00:00,,
2016-02-29 00:00:00+00:00,,
2016-03-31 00:00:00+00:00,,
2016-04-30 00:00:00+00:00,,
2016-05-31 00:00:00+00:00,,
2016-06-30 00:00:00+00:00,,
2016-07-31 00:00:00+00:00,,
2016-08-31 00:00:00+00:00,,
2016-09-30 00:00:00+00:00,13874.0,
2016-10-31 00:00:00+00:00,,
2016-11-30 00:00:00+00:00,,
2016-12-31 00:00:00+00:00,,
2017-01-31 00:00:00+00:00,,
2017-02-28 00:00:00+00:00,,1200000.0
2017-03-31 00:00:00+00:00,,6700000.0
2017-04-30 00:00:00+00:00,,
2017-05-31 00:00:00+00:00,,
2017-06-30 00:00:00+00:00,,
2017-07-31 00:00:00+00:00,,
2017-08-31 00:00:00+00:00,,
2017-09-30 00:00:00+00:00,,
2017-10-31 00:00:00+00:00,,
2017-11-30 00:00:00+00:00,,
2017-12-31 00:00:00+00:00,,
2018-01-31 00:00:00+00:00,,
2018-02-28 00:00:00+00:00,,
2018-03-31 00:00:00+00:00,,12600000.0
2018-04-30 00:00:00+00:00,,
2018-05-31 00:00:00+00:00,,17733333.333333332
2018-06-30 00:00:00+00:00,,
2018-07-31 00:00:00+00:00,,
2018-08-31 00:00:00+00:00,,18600000.0
2018-09-30 00:00:00+00:00,10008703.0,12325000.0
2018-10-31 00:00:00+00:00,,
2018-11-30 00:00:00+00:00,,
2018-12-31 00:00:00+00:00,,18600000.0
2019-01-31 00:00:00+00:00,,25550000.0
2019-02-28 00:00:00+00:00,,9267427.272727273
2019-03-31 00:00:00+00:00,,16500000.0
2019-04-30 00:00:00+00:00,,6118175.0
2019-05-31 00:00:00+00:00,,13683266.666666666
2019-06-30 00:00:00+00:00,,26000000.0
2019-07-31 00:00:00+00:00,,12120528.57142857
2019-08-31 00:00:00+00:00,,20633333.333333332
2019-09-30 00:00:00+00:00,31497198.09090909,16409090.909090908
2019-10-31 00:00:00+00:00,,10000838.461538462
2019-11-30 00:00:00+00:00,,17776225.0
2019-12-31 00:00:00+00:00,,12405386.363636363
2020-01-31 00:00:00+00:00,,14977078.378378378
2020-02-29 00:00:00+00:00,,12993530.76923077
2020-03-31 00:00:00+00:00,,10335053.333333334
2020-04-30 00:00:00+00:00,,9040023.333333334
2020-05-31 00:00:00+00:00,,14204370.0
2020-06-30 00:00:00+00:00,,15597397.826086957
2020-07-31 00:00:00+00:00,,8783205.76923077
2020-08-31 00:00:00+00:00,,7074461.538461538
2020-09-30 00:00:00+00:00,2206938.3225806453,8673676.785714285
2020-10-31 00:00:00+00:00,,9190706.666666666
2020-11-30 00:00:00+00:00,,6080413.235294118
2020-12-31 00:00:00+00:00,,5850600.0
2021-01-31 00:00:00+00:00,,4893198.773006135
2021-02-28 00:00:00+00:00,,7364547.7272727275
2021-03-31 00:00:00+00:00,,8155984.688995215
2021-04-30 00:00:00+00:00,,9548861.313868614
2021-05-31 00:00:00+00:00,,8571318.897637796
2021-06-30 00:00:00+00:00,,8841762.931034483
2021-07-31 00:00:00+00:00,,10799451.048951048
2021-08-31 00:00:00+00:00,,8871731.914893618
2021-09-30 00:00:00+00:00,4059600.414141414,8139434.736842105
2021-10-31 00:00:00+00:00,13113718.625,10511522.123893805
2021-11-30 00:00:00+00:00,19759265.772727273,8503698.113207547
2021-12-31 00:00:00+00:00,3237378.761904762,9000772.268907564
2022-01-31 00:00:00+00:00,2483334.2285714285,7685883.098591549
2022-02-28 00:00:00+00:00,488934.76,7358818.918918919
2022-03-31 00:00:00+00:00,7206702.0,9869564.467005076
2022-04-30 00:00:00+00:00,4072725.606060606,9169972.511848342
2022-05-31 00:00:00+00:00,13410165.07142857,7405660.0
2022-06-30 00:00:00+00:00,2626430.0,9845450.19607843
2022-07-31 00:00:00+00:00,2652740.8018867923,7501540.0
2022-08-31 00:00:00+00:00,4188006.763157895,5248234.166666667
2022-09-30 00:00:00+00:00,658832.2911392405,5297504.761904762
