date,views_youtube,views_tiktok
2012-09-30 00:00:00+00:00,10100799.0,
2012-10-31 00:00:00+00:00,,
2012-11-30 00:00:00+00:00,,
2012-12-31 00:00:00+00:00,,
2013-01-31 00:00:00+00:00,,
2013-02-28 00:00:00+00:00,,
2013-03-31 00:00:00+00:00,,
2013-04-30 00:00:00+00:00,,
2013-05-31 00:00:00+00:00,,
2013-06-30 00:00:00+00:00,,
2013-07-31 00:00:00+00:00,,
2013-08-31 00:00:00+00:00,,
2013-09-30 00:00:00+00:00,,
2013-10-31 00:00:00+00:00,,
2013-11-30 00:00:00+00:00,,
2013-12-31 00:00:00+00:00,,
2014-01-31 00:00:00+00:00,,
2014-02-28 00:00:00+00:00,,
2014-03-31 00:00:00+00:00,,
2014-04-30 00:00:00+00:00,,
2014-05-31 00:00:00+00:00,,
2014-06-30 00:00:00+00:00,,
2014-07-31 00:00:00+00:00,,
2014-08-31 00:00:00+00:00,,
2014-09-30 00:00:00+00:00,13621692.0,
2014-10-31 00:00:00+00:00,,
2014-11-30 00:00:00+00:00,,
2014-12-31 00:00:00+00:00,,
2015-01-31 00:00:00+00:00,,
2015-02-28 00:00:00+00:00,,
2015-03-31 00:00:00+00:00,,
2015-04-30 00:00:00+00:00,,
2015-05-31 00:00:00+00:00,,
2015-06-30 00:00:00+00:00,,
2015-07-31 00:00:00+00:00,,
2015-08-31 00:00:00+00:00,,13200000.0
2015-09-30 00:00:00+00:00,76362108.66666667,
2015-10-31 00:00:00+00:00,,
2015-11-30 00:00:00+00:00,,
2015-12-31 00:00:00+00:00,,28100000.0
2016-01-31 00:00:00+00:00,,46400000.0
2016-02-29 00:00:00+00:00,,
2016-03-31 00:00:00+00:00,,
2016-04-30 00:00:00+00:00,,
2016-05-31 00:00:00+00:00,,
2016-06-30 00:00:00+00:00,,
2016-07-31 00:00:00+00:00,,
2016-08-31 00:00:00+00:00,,
2016-09-30 00:00:00+00:00,,
2016-10-31 00:00:00+00:00,,
2016-11-30 00:00:00+00:00,,
2016-12-31 00:00:00+00:00,,
2017-01-31 00:00:00+00:00,,
2017-02-28 00:00:00+00:00,,
2017-03-31 00:00:00+00:00,,
2017-04-30 00:00:00+00:00,,
2017-05-31 00:00:00+00:00,,
2017-06-30 00:00:00+00:00,,
2017-07-31 00:00:00+00:00,,
2017-08-31 00:00:00+00:00,,
2017-09-30 00:00:00+00:00,23496172.6,
2017-10-31 00:00:00+00:00,,
2017-11-30 00:00:00+00:00,,
2017-12-31 00:00:00+00:00,,
2018-01-31 00:00:00+00:00,,
2018-02-28 00:00:00+00:00,,
2018-03-31 00:00:00+00:00,,
2018-04-30 00:00:00+00:00,,83100000.0
2018-05-31 00:00:00+00:00,,24900000.0
2018-06-30 00:00:00+00:00,,
2018-07-31 00:00:00+00:00,,
2018-08-31 00:00:00+00:00,,
2018-09-30 00:00:00+00:00,86501008.42857143,25800000.0
2018-10-31 00:00:00+00:00,,29100000.0
2018-11-30 00:00:00+00:00,,
2018-12-31 00:00:00+00:00,,18600000.0
2019-01-31 00:00:00+00:00,,47700000.0
2019-02-28 00:00:00+00:00,,36400000.0
2019-03-31 00:00:00+00:00,,20300000.0
2019-04-30 00:00:00+00:00,,45460000.0
2019-05-31 00:00:00+00:00,,33400000.0
2019-06-30 00:00:00+00:00,,44127272.72727273
2019-07-31 00:00:00+00:00,,37100000.0
2019-08-31 00:00:00+00:00,,29600000.0
2019-09-30 00:00:00+00:00,53409640.78333333,27047058.82352941
2019-10-31 00:00:00+00:00,,42151851.85185185
2019-11-30 00:00:00+00:00,,32210526.315789472
2019-12-31 00:00:00+00:00,,39202702.7027027
2020-01-31 00:00:00+00:00,,29688000.0
2020-02-29 00:00:00+00:00,,40583062.0
2020-03-31 00:00:00+00:00,,30900689.772727273
2020-04-30 00:00:00+00:00,,29382174.666666668
2020-05-31 00:00:00+00:00,,25316842.1686747
2020-06-30 00:00:00+00:00,,19103419.277108435
2020-07-31 00:00:00+00:00,,19320315.384615384
2020-08-31 00:00:00+00:00,,18842924.778761063
2020-09-30 00:00:00+00:00,15583016.413793104,19954397.5
2020-10-31 00:00:00+00:00,,24254761.904761903
2020-11-30 00:00:00+00:00,,25037305.714285713
2020-12-31 00:00:00+00:00,,27700169.56521739
2021-01-31 00:00:00+00:00,,23780491.150442477
2021-02-28 00:00:00+00:00,,20573834.259259257
2021-03-31 00:00:00+00:00,,22363474.166666668
2021-04-30 00:00:00+00:00,,18808159.649122808
2021-05-31 00:00:00+00:00,,24068129.213483147
2021-06-30 00:00:00+00:00,,24959294.01197605
2021-07-31 00:00:00+00:00,,22319954.43786982
2021-08-31 00:00:00+00:00,,26280834.59119497
2021-09-30 00:00:00+00:00,12708329.64137931,24579689.261744965
2021-10-31 00:00:00+00:00,19453855.666666668,28331364.4295302
2021-11-30 00:00:00+00:00,6304028.6486486485,23221700.64935065
2021-12-31 00:00:00+00:00,9661452.170731707,22370917.391304348
2022-01-31 00:00:00+00:00,8689589.489795918,21434360.693641618
2022-02-28 00:00:00+00:00,18977487.61038961,24743364.666666668
2022-03-31 00:00:00+00:00,12577042.064814815,21246849.162011173
2022-04-30 00:00:00+00:00,12481048.568,28288571.21212121
2022-05-31 00:00:00+00:00,5581114.919708029,22169274.24892704
2022-06-30 00:00:00+00:00,5828564.306122449,29631049.479166668
2022-07-31 00:00:00+00:00,4202257.200404858,18803713.27014218
2022-08-31 00:00:00+00:00,1453828.433460076,16585881.224489795
2022-09-30 00:00:00+00:00,672606.8496240601,12686925.373134328
